h; A dinamikus utasítás ütemezés elsősorban a mikroarchitektúra hátsó részének az átbocsátó képességét növeli meg;2. Generációs szuperskalárok;helyes
i; A nagyobb skálázhatóság ára általában a nagyobb memória késleltetés;Folyamatszinten párhuzamos architektúrák;helyes
i;A „Data Valid Window” kijelöli azt a minimális időintervallumot, amíg a jelnek érvényesnek kell lennie;Fejlődési korlátok;helyes
h;A „hőkatasztrófa” alapvető oka a dinamikus disszipáció exponenciális növekedése;Fejlődési korlátok;helyes
h;A „jitter” leszűkíti a tolerancia sávokat mind a jelszintek, mind a DVW tekintetében;Fejlődési korlátok;helyes
i;A „Level 1” cache a regiszterek után a leggyorsabb átmeneti tároló;Gyorsító tárak;helyes
h;A „skew” fázisbizonytalanságot jelent, elmossa a jelek felfutó és lefutó éleit;Fejlődési korlátok;helyes
h;A „V” bit a cache blokk valamely részének módosítását jelzi;Gyorsító tárak;helyes
i;A blokk méret és a sor méret általában azonos;Gyorsító tárak;helyes
h;A cache mindig a CPU és az MMU között helyezkedik el;Gyorsító tárak;helyes
h;A cache találatok száma nem függ a cache méretétől;Gyorsító tárak;helyes
h;A cache tároló az adatok és utasítások átmeneti tárolására szolgáló, gyors működésű, a felhasználó számára is látható tároló;Gyorsító tárak;helyes
i;A cache tárolóban a memória egyes, egymást követő rekeszeinek tartalmát tároljuk a tárolóbeli hely címével együtt;Gyorsító tárak;helyes
i;A cache-ben tárolt címrész lehet fizikai cím;Gyorsító tárak;helyes
i;A cache-ben tárolt címrész lehet virtuális cím;Gyorsító tárak;helyes
i;A cc-NUMA rendszerek mindig nyilvántartják, hogy hol található egy bizonyos adat legfrissebb példánya;Folyamatszinten párhuzamos architektúrák;helyes
h;A cc-NUMA rendszerek nem törődnak a távoli CPU-nak átadott, ott módosított, de még vissza nem írt adattal;Folyamatszinten párhuzamos architektúrák;helyes
h;A cc-NUMA rendszerek tervezése és építése a legkönnyebb;Folyamatszinten párhuzamos architektúrák;helyes
h;A cél regiszterekhez csak akkor rendelődik átnevezési regiszter, ha fennáll az esélye, hogy függőség keletkezhet;2. Generációs szuperskalárok;helyes
h;A célregiszterek átnevezése a várakoztató állomásban történik;2. Generációs szuperskalárok;helyes
i;A ciklus- és eljárásszintű párhuzamosságok általában szálak vagy folyamatok formájában jelennek meg;Párhuzamos architektúrák osztályozása és függőségek;helyes
h;Valós adatfüggőség a WAR függőség;Függőségek;helyes
h;A CISC-szerű architektúra jelent meg előbb;CISC/RISC;helyes
i;A CISC architektúra általában kompatibilis a régebbi verziókkal;CISC/RISC;helyes
h;A CISC architektúráknál egyszerűbb a futószalagos feldolgozás kialakítása;CISC/RISC;helyes
i;A CISC processzoroknál egyszerűbb a Compiler írása;CISC/RISC;helyes
h;A processzor konzisztencia azt jelenti, hogy a processzor csak az utasítások eredeti sorrendjében fogadja el a megszakítás kéréseket.;Függőség;helyes
h;A ciklusbeli adatfüggőség statikusan és dinamikusan is kiküszöbölhető;Párhuzamos architektúrák osztályozása és függőségek;helyes
i;A ciklusszintű párhuzamosság az egymást követő iterációk párhuzamos végrehajthatóságát jelenti;Párhuzamos architektúrák osztályozása és függőségek;helyes
i;A CISC architektúrák általában nem használták a késleltetett ugrást;Futoszalag processzorok;helyes
i;A CISC processzorok futószalagja általában hosszabb;Futószalag processzorok, CISC-RISC architektúrák;helyes
h;A CISC processzorokban általában több regiszter található;Futószalag processzorok, CISC-RISC architektúrák;helyes
i;Manapság egyre jobban terjednek a RISC-szerű architektúrák a mobil eszközökben;CISC-RISC;helyes
h;A CISC utasítások átalakítása RISC szerű utasításokká, a várakoztató állomásban történik;2. Generációs szuperskalárok;helyes
i;A CISC utasításokat a futószalagon kívül alakítják át RISC-szerű utasításokká;2. Generációs szuperskalárok;helyes
i;A CPU a frissen elkészült eredményeket tartalmazó regiszterek címére keres rá a várakoztató állomásban;2. Generációs szuperskalárok;helyes
i;A dedikált futószalag a különböző logikai futószalagok fizikai megvalósítása;Futoszalag processzorok;helyes
h;A dedikált futószalagok egyforma hosszúak;Futoszalag processzorok;helyes
i;A Hyper-threading az SMT egyik megvalósítási formája;Netburst architektúra és Hyper-Threading;helyes
h;A dekódoló egység finoman szemcsézett modell szerint dekódolja s szálak utasításait;Netburst architektúra és Hyper-Threading;helyes
h;A dinamikus disszipáció exponenciálisan nő a frekvencia növelésével;Fejlődési korlátok;helyes
h;A dinamikus disszipáció képlete: Dd= A x C x F2 x V;Fejlődési korlátok;helyes
i;A dinamikus utasítás ütemezés megnöveli a mikroarchitektúra elejének az átbocsátó képességét;2. Generációs szuperskalárok;helyes
i;A dinamukis utasítás ütemezés lényege a pufferelt utasítás kibocsátás és a sorrenden kívüli kiküldés;2. Generációs szuperskalárok;helyes
i;A disszipáció csökkentés egyik módja a dinamikus feszültség és frekvencia szabályozás;Fejlődési korlátok;helyes
